pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
220,592789,"Syndergaard, Noah",2026,10.9,0.255,0.149,0.367,0.404,0.282,0.207,0.2,12,47,77.8,17.8,2131,76.4,76.93,34,91,129,0.5,6.65,113,151,112,151,295,323,292
219,663559,"Falter, Bailey",1295,16.9,0.281,0.375,0.316,0.656,0.404,0.318,0.245,9,32,89,15.5,2125,76.6,77.91,28,80,139,1.3,7.27,108,152,118,146,306,324,283
219,676710,"Crawford, Kutter",1296,16.9,0.26,0.2,0.282,0.46,0.316,0.276,0.241,13,50,90.6,11,2271,79.7,79.02,17,93,126,-0.7,6.06,115,160,117,151,292,327,293
218,650893,"Cabrera, Génesis",736,29.6,0.116,0.116,0.143,0.233,0.194,0.246,0.186,5,43,88.7,7.8,2402,79.3,78.91,19,73,145,-0.4,6.05,112,154,116,148,297,321,298
218,605347,"López, Jorge",1161,18.8,0.132,0,0.185,0.132,0.155,0.217,0.183,5,38,83.4,-5.1,2449,84.1,83.86,21,76,142,-0.2,6.2,108,157,113,149,301,324,295
217,592836,"Walker, Taijuan",2500,8.7,0.242,0.061,0.296,0.303,0.264,0.295,0.259,8,33,87.3,12.8,2226,75,73.99,18,67,150,-1,5.72,116,160,115,151,298,329,305
217,605288,"Houser, Adrian",1848,11.7,0.31,0.103,0.321,0.414,0.338,0.478,0.407,9,29,96.7,12.6,1984,81.1,80.79,9,64,153,-0.3,6.47,113,153,120,146,296,318,297
216,622503,"Crismatt, Nabil",1062,20.3,0.219,0.125,0.222,0.344,0.27,0.358,0.25,7,32,88.5,11.9,2227,73.2,73.57,19,70,146,0.4,7.06,113,160,118,149,299,321,302
216,592826,"Velasquez, Vince",1286,16.8,0.256,0.179,0.308,0.436,0.334,0.346,0.275,10,39,93.7,16.3,2361,81.5,81.81,22,82,134,0.3,6.48,110,149,111,148,298,325,298
216,608349,"Knebel, Corey",795,27.2,0.237,0.079,0.321,0.316,0.273,0.282,0.246,9,38,83.4,1.4,2832,78.7,78.33,21,66,150,-0.4,6.48,111,150,119,143,296,326,295
