pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
314,571670,"Floro, Dylan",863,36.4,0.275,0.037,0.355,0.313,0.288,0.27,0.246,22,80,86.1,3.6,2128,92.6,91.83,20,161,153,-0.8,6.34,106,151,118,149,301,316,290
313,450203,"Morton, Charlie",2903,10.8,0.292,0.083,0.317,0.375,0.339,0.386,0.335,21,72,91.4,1.5,2192,94.7,94.53,8,120,193,-0.2,6.22,109,152,120,147,309,325,296
312,592791,"Taillon, Jameson",2805,11.1,0.268,0.159,0.26,0.427,0.33,0.365,0.312,22,82,85.8,5.6,2298,94.2,94.73,19,162,150,0.5,6.65,107,153,121,147,301,327,287
310,643256,"Cimber, Adam",1044,29.7,0.356,0.151,0.353,0.507,0.397,0.384,0.35,26,73,90.1,-4.4,2140,86.5,85.97,21,145,165,-0.5,6.43,107,151,121,146,303,317,287
309,641302,"Alexander, Tyler",1591,19.4,0.32,0.173,0.339,0.493,0.389,0.35,0.279,24,75,88.8,9.9,2129,90.1,90.08,19,152,157,0,6.3,107,154,117,146,301,328,294
308,628708,"Marte, Yunior",856,36,0.271,0.017,0.34,0.288,0.332,0.332,0.254,16,59,84.7,2.4,2327,96.9,96.74,37,157,151,-0.2,6.27,109,152,117,147,300,324,297
306,519008,"McFarland, T.J.",487,62.8,0.352,0.077,0.388,0.429,0.375,0.36,0.312,32,91,93.3,0.7,1940,88.8,87.61,18,147,159,-1.2,5.53,108,150,114,146,297,324,299
304,593974,"Peralta, Wandy",816,37.3,0.225,0.028,0.262,0.254,0.259,0.298,0.25,16,71,84.2,2.5,2186,95.4,94.52,34,141,163,-0.9,5.82,110,154,116,150,292,323,287
303,666200,"Luzardo, Jesús",1644,18.4,0.231,0.141,0.279,0.372,0.293,0.329,0.28,18,78,90.9,8,2141,95.7,94.53,26,137,166,-1.2,5.81,105,152,119,149,300,314,288
299,542914,"Bass, Anthony",986,30.3,0.215,0.051,0.25,0.266,0.273,0.357,0.284,17,79,88.5,4.5,1990,95.4,95.64,20,137,162,0.2,6.48,105,152,118,149,302,320,291
298,656638,"Lange, Alex",1046,28.5,0.257,0.162,0.271,0.419,0.365,0.383,0.265,19,74,85.7,0.8,2221,96.2,96.34,16,124,174,0.1,6.44,108,153,115,145,303,329,294
298,640444,"Crowe, Wil",1380,21.6,0.294,0.118,0.31,0.412,0.365,0.383,0.313,20,68,85.9,9.9,2269,94.4,94.67,17,130,168,0.3,6.5,104,151,114,147,306,323,299
295,665001,"Kelley, Trevor",460,64.1,0.231,0.185,0.25,0.415,0.336,0.328,0.22,15,65,83.2,16.7,2221,89.9,90.1,21,130,165,0.2,6.72,110,153,121,147,297,316,296
294,644364,"Arano, Víctor",678,43.4,0.333,0.08,0.343,0.413,0.365,0.344,0.291,25,75,83.8,1.8,2122,93.9,93.5,14,140,154,-0.4,6.28,109,152,121,143,297,315,294
293,607481,"Bummer, Aaron",457,64.1,0.339,0.145,0.38,0.484,0.398,0.351,0.285,21,62,91.9,-9.5,2062,94.5,94.58,23,111,182,0.1,6.33,105,148,107,145,294,322,295
290,666808,"Doval, Camilo",1121,25.9,0.242,0.032,0.3,0.274,0.296,0.281,0.213,15,62,87.2,-17.3,2472,98.4,99.27,25,119,171,0.9,6.52,114,152,114,149,298,323,300
288,660813,"Graterol, Brusdar",675,42.7,0.188,0.071,0.211,0.259,0.232,0.24,0.2,16,85,84.1,-5.8,2048,99.7,99.11,24,156,132,-0.6,5.86,112,152,120,150,304,316,287
288,605182,"Clevinger, Mike",1931,14.9,0.136,0.045,0.176,0.182,0.23,0.313,0.208,9,66,88.3,14.6,2242,93.2,93.9,22,132,156,0.7,6.84,113,162,118,151,295,319,301
286,650633,"King, Michael",776,36.9,0.262,0.115,0.333,0.377,0.301,0.332,0.279,16,61,90,0.1,2375,95.5,95.21,30,118,168,-0.3,6.28,108,151,119,146,299,325,286
285,623474,"Herget, Jimmy",996,28.6,0.397,0.206,0.397,0.603,0.45,0.419,0.354,25,63,88.7,5.9,2250,90.4,88.09,9,115,169,-2.3,5,112,152,113,151,296,322,292
283,592836,"Walker, Taijuan",2500,11.3,0.338,0.117,0.343,0.455,0.369,0.377,0.325,26,77,87.3,7.3,2023,92.9,92.19,16,150,133,-0.7,5.99,110,156,117,149,299,329,300
283,676092,"Snider, Collin",583,48.5,0.373,0.153,0.4,0.525,0.437,0.412,0.334,22,59,88.4,0.4,2428,96,95.26,14,111,172,-0.7,5.95,108,152,118,146,300,323,299
283,642152,"Trivino, Lou",955,29.6,0.4,0.1,0.452,0.5,0.418,0.336,0.291,28,70,87.2,-3.8,2024,95.8,95.92,20,139,144,0.1,6.42,110,152,116,146,297,323,292
283,471911,"Carrasco, Carlos",2412,11.7,0.391,0.217,0.385,0.609,0.455,0.417,0.368,27,69,89.1,8.8,2163,91.9,91.65,27,145,138,-0.3,6.27,110,155,114,149,300,330,300
281,468504,"Chacín, Jhoulys",786,35.8,0.39,0.195,0.4,0.584,0.45,0.395,0.32,30,77,92.3,4.5,2304,92.9,92.58,14,135,146,-0.3,5.94,108,151,120,147,305,331,300
276,664123,"Effross, Scott",815,33.9,0.333,0.138,0.391,0.471,0.367,0.31,0.273,29,87,88.5,-3.7,2216,90.3,89.44,20,133,143,-0.9,5.96,108,152,118,149,300,321,290
276,593958,"Rodriguez, Eduardo",1469,18.8,0.188,0.059,0.276,0.247,0.273,0.281,0.183,16,85,88,5.4,2148,91.7,91.44,20,121,155,-0.3,6.14,108,154,118,146,299,330,292
275,669270,"Kuhnel, Joel",934,29.4,0.352,0.141,0.387,0.493,0.406,0.312,0.25,25,71,90.2,3.7,2234,96,94.47,22,147,128,-1.5,7.04,113,151,122,145,294,318,288
273,664092,"Poppen, Sean",439,62.2,0.267,0.183,0.292,0.45,0.336,0.307,0.238,16,60,88.5,7.8,2090,94.6,94.53,15,120,153,-0.1,6.36,109,149,119,144,302,322,295
272,656557,"Houck, Tanner",918,29.6,0.288,0.014,0.344,0.301,0.293,0.286,0.251,21,73,89.9,-7.9,2047,94.5,94.27,37,139,133,-0.2,6.29,107,152,115,149,294,326,295
270,570666,"Cessa, Luis",1235,21.9,0.313,0.075,0.317,0.388,0.324,0.346,0.294,21,67,87.3,-2.1,2191,93.6,91.66,19,134,136,-1.9,5.71,109,152,117,145,294,320,291
269,506433,"Darvish, Yu",2971,9.1,0.169,0.169,0.173,0.338,0.254,0.311,0.214,12,71,88.2,10.3,2275,94.7,95.23,20,129,140,0.5,6.66,111,163,120,152,296,319,301
268,666168,"Thompson, Mason",368,72.8,0.233,0.055,0.258,0.288,0.272,0.301,0.256,17,73,85.6,10.4,2252,95.8,96.44,23,143,125,0.6,6.74,115,156,124,149,299,317,303
267,621368,"Hearn, Taylor",1787,14.9,0.35,0.233,0.367,0.583,0.431,0.422,0.351,21,60,88.4,14.7,2203,93.8,93.66,23,123,144,-0.1,6.37,110,152,117,147,298,325,295
267,523260,"Kelly, Joe",703,38,0.25,0.146,0.423,0.396,0.361,0.33,0.212,12,48,93.3,3.9,2178,97.9,97.53,24,94,173,-0.4,6,109,152,110,147,298,325,296
266,663765,"Woodford, Jake",697,38.2,0.284,0.053,0.314,0.337,0.297,0.314,0.28,27,95,89,1.9,2027,91.8,92.41,23,155,111,0.6,6.53,110,150,117,145,299,319,294
265,622554,"Domínguez, Seranthony",823,32.2,0.206,0.118,0.203,0.324,0.26,0.353,0.305,14,68,93.9,5.9,2312,98.2,97.89,19,140,125,-0.3,6.23,111,151,116,144,299,327,290
265,660787,"De Los Santos, Yerry",449,59,0.185,0.056,0.227,0.241,0.257,0.347,0.242,10,54,89.3,1.5,2197,95.3,95.79,14,114,151,0.5,6.58,108,151,114,148,301,324,298
265,594311,"Gustave, Jandel",466,56.9,0.273,0.136,0.306,0.409,0.338,0.339,0.268,18,66,91.3,7.7,2379,95.9,94.96,17,136,129,-0.9,5.85,109,150,118,145,295,316,294
263,656685,"Martin, Brett",750,35.1,0.286,0.161,0.275,0.446,0.351,0.343,0.28,16,56,87.4,0.5,2200,93.5,93.67,18,119,144,0.2,6.52,109,152,117,147,297,320,295
262,621249,"Underwood Jr., Duane",1004,26.1,0.277,0.046,0.333,0.323,0.329,0.331,0.26,18,65,86.1,1.7,2091,95.3,95.46,22,130,132,0.2,6.48,103,150,116,147,308,323,296
261,670167,"Schreiber, John",1020,25.6,0.217,0.058,0.246,0.275,0.234,0.241,0.222,15,69,85,-12.8,2184,93.4,93.6,29,123,138,0.2,6.58,107,152,117,149,291,328,293
261,650895,"Castillo, Diego",843,31,0.273,0.109,0.271,0.382,0.32,0.323,0.249,15,55,90.4,4.5,1998,95.1,92.07,16,119,142,-3,5.38,109,150,115,145,296,321,291
260,458681,"Lynn, Lance",2022,12.9,0.37,0.205,0.364,0.575,0.418,0.417,0.374,27,73,91.6,10.1,2317,91.5,91.86,27,150,110,0.4,6.37,106,153,113,148,297,326,297
257,663546,"Hjelle, Sean",474,54.2,0.362,0.121,0.396,0.483,0.407,0.382,0.318,21,58,89,-0.4,1979,93.8,94.39,7,107,150,0.6,6.64,106,152,116,148,302,326,295
255,669923,"Kirby, George",2092,12.2,0.266,0.025,0.389,0.291,0.295,0.259,0.199,21,79,86.1,3,2235,94.7,95.15,14,118,137,0.4,6.56,111,152,121,147,295,321,297
254,642232,"Yarbrough, Ryan",1355,18.7,0.281,0.125,0.346,0.406,0.368,0.378,0.294,9,32,89.3,3.2,1820,86.7,86.77,14,79,175,0.1,6.43,107,158,122,147,300,321,299
253,657649,"Koenig, Jared",653,38.7,0.304,0.268,0.265,0.571,0.393,0.419,0.321,17,56,92.3,9.4,2140,89.2,89.59,13,118,135,0.4,6.59,109,152,116,149,302,325,297
252,643410,"Leiter Jr., Mark",1086,23.2,0.196,0.137,0.182,0.333,0.281,0.346,0.279,10,51,83.1,7.8,1913,90.9,91.67,18,122,130,0.8,6.67,105,151,115,153,300,321,294
251,607259,"Martinez, Nick",1720,14.6,0.197,0.03,0.241,0.227,0.234,0.266,0.23,13,66,82.9,8,2347,93.3,92.52,17,133,118,-0.8,5.96,109,158,120,149,296,322,299
250,606160,"Montero, Rafael",1093,22.9,0.25,0.059,0.291,0.309,0.269,0.284,0.26,17,68,80.1,2.9,2233,95.9,95.34,27,137,113,-0.6,6.12,111,153,113,146,297,324,290
248,595881,"Beede, Tyler",1072,23.1,0.358,0.269,0.368,0.627,0.455,0.363,0.284,24,67,89.3,0.4,2127,95.6,96.13,11,112,136,0.5,6.51,107,150,113,148,303,323,298
246,656529,"Hentges, Sam",944,26.1,0.127,0.127,0.143,0.255,0.223,0.293,0.203,7,55,90,2.3,2155,95.7,96.26,39,135,111,0.6,6.68,109,151,114,149,290,313,293
245,608379,"Wacha, Michael",1949,12.6,0.212,0.05,0.224,0.263,0.235,0.332,0.268,17,80,87.9,10.1,2052,92.6,93.19,11,147,98,0.6,6.62,106,153,116,148,292,328,295
