pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
119,544727,"Familia, Jeurys",817,14.6,0.273,0.136,0.278,0.409,0.328,0.302,0.242,6,22,85,1.8,1802,92.5,91.52,13,52,67,-1,5.74,113,154,122,145,293,328,296
106,672578,"Hernández, Carlos",1035,10.2,0.273,0.182,0.294,0.455,0.316,0.222,0.162,6,22,79.8,9.9,1183,85,80.89,13,43,63,-4.1,6.73,109,157,115,150,296,324,306
104,663485,"Sands, Cole",603,17.2,0.25,0.042,0.3,0.292,0.255,0.221,0.205,6,24,83.3,0.4,1294,84.9,83.39,11,47,57,-1.5,5.36,112,159,119,149,294,329,289
101,547973,"Chapman, Aroldis",679,14.9,0.115,0.115,0.154,0.231,0.204,0.231,0.161,3,26,88.8,-13.2,835,88.1,89.76,19,47,54,1.7,7.34,111,155,122,149,299,328,288
99,640451,"Harvey, Hunter",661,15,0.241,0.103,0.412,0.345,0.251,0.184,0.195,7,29,85.5,5.3,1002,89.4,89.15,15,49,50,-0.2,6.15,112,155,128,147,297,314,302
95,640448,"Finnegan, Kyle",1053,9,0.2,0.167,0.217,0.367,0.248,0.261,0.233,6,30,90.5,7.4,1095,88.6,89.25,14,52,43,0.7,6.59,115,158,128,149,302,320,304
93,641793,"Littell, Zack",758,12.3,0.182,0.045,0.25,0.227,0.22,0.259,0.189,4,22,87.1,4.2,880,85.6,85.89,15,42,51,0.3,6.37,113,154,122,147,297,324,295
87,657053,"Toussaint, Touki",431,20.2,0.059,0,0.083,0.059,0.148,0.229,0.156,1,17,88.2,-4.2,1568,86.6,88.1,17,45,42,1.5,7.03,113,157,121,153,293,321,295
79,455119,"Martin, Chris",858,9.2,0.238,0.048,0.455,0.286,0.228,0.19,0.197,5,21,78.4,4.7,1507,88.4,88.92,9,36,43,0.5,6.59,112,155,121,156,292,316,296
76,518585,"Cruz, Fernando",260,29.2,0.042,0.042,0.143,0.083,0.124,0.149,0.084,1,24,82,22.4,845,81.7,82.8,26,42,34,1.1,6.99,119,151,120,148,290,311,289
