pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
292,657093,"Watkins, Spenser",1642,17.8,0.185,0.16,0.203,0.346,0.226,0.262,0.217,15,81,85.3,22.6,2589,78.4,78.04,41,158,134,-0.4,6.16,106,153,119,148,306,322,293
291,656793,"Nelson, Nick",1204,24.2,0.161,0.036,0.243,0.196,0.226,0.238,0.176,9,56,81.3,10,2265,89.9,89.83,49,132,159,-0.1,6.24,108,148,116,144,296,327,288
290,669060,"Wilson, Bryse",1825,15.9,0.24,0.213,0.237,0.453,0.297,0.364,0.314,18,75,88.4,16.7,2160,83.4,83.95,29,140,150,0.5,6.59,107,150,116,147,302,323,297
289,592826,"Velasquez, Vince",1286,22.5,0.23,0.213,0.25,0.443,0.323,0.282,0.191,14,61,87.9,20,2502,84.7,85.38,43,136,153,0.7,6.54,109,151,115,147,301,327,297
289,641729,"Jiménez, Joe",937,30.8,0.182,0.045,0.308,0.227,0.177,0.189,0.187,12,66,83.7,9.6,2226,84.8,85.56,59,139,150,0.8,6.73,109,156,121,147,304,331,294
288,676092,"Snider, Collin",583,49.4,0.247,0.137,0.298,0.384,0.302,0.335,0.276,18,73,89.2,11,2676,86.3,86.39,39,139,149,0.1,6.15,105,154,119,146,301,323,300
288,608665,"Graveman, Kendall",1035,27.8,0.232,0.13,0.333,0.362,0.282,0.257,0.209,16,69,86.5,10.7,2495,88.7,88.91,54,128,160,0.2,6.29,107,151,114,147,299,325,297
287,596057,"Norris, Daniel",1012,28.4,0.204,0.222,0.242,0.426,0.341,0.323,0.204,11,54,82.5,20.3,2628,79.9,78.8,43,115,172,-1.1,5.67,112,154,120,152,293,321,295
287,606424,"García, Jarlín",1015,28.3,0.217,0.101,0.25,0.319,0.268,0.31,0.229,15,69,85.7,17.9,2251,82.7,83.22,25,120,167,0.5,6.48,109,151,115,148,294,322,298
287,605177,"Chafin, Andrew",899,31.9,0.085,0.042,0.185,0.127,0.129,0.165,0.121,6,71,82,5.8,2485,82.9,83.02,90,149,138,0.1,6.52,109,154,118,145,297,328,296
286,605540,"Woodruff, Brandon",2538,11.3,0.218,0.018,0.333,0.236,0.2,0.172,0.166,12,55,85.8,12,2408,88,88.5,51,113,173,0.5,6.53,110,153,121,147,297,317,295
284,676664,"Sears, JP",1079,26.3,0.13,0.093,0.15,0.222,0.221,0.24,0.158,7,54,83,17.6,2495,79.2,79.42,35,107,177,0.2,6.34,109,153,116,149,300,323,293
281,641793,"Littell, Zack",758,37.1,0.319,0.174,0.345,0.493,0.359,0.266,0.23,22,69,85.5,6.1,2220,87.9,88,42,144,137,0.1,6.33,110,152,116,147,302,324,291
