pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
10,614177,"Reyes, Franmil",10,100,0,0,0,0,0.24,0.274,0.054,0,2,87.3,-21,2053,83,82.33,1,3,7,-0.7,5.9,112,152,125,150,307,321,291
10,676206,"Tarnok, Freddy",10,100,0.333,0.333,0.5,0.667,0.42,0.308,0.257,1,3,94.7,10,2086,90.4,90.25,4,6,4,-0.1,6.13,122,153,119,154,296,318,312
10,545341,"Grichuk, Randal",10,100,0,0,0,0,0,0.227,0.243,0,3,82.6,23.3,1357,66.2,65.22,1,5,5,-1,5.16,111,154,131,143,319,346,318
9,670102,"Francis, Bowden",9,100,0.333,0.333,0.5,0.667,0.42,0.126,0.138,1,3,73.3,-14,2410,84.2,84.83,2,7,2,0.6,6.91,105,149,120,149,289,324,296
8,607054,"Peterson, Jace",8,100,0,0,0,0,0,0.218,0.236,0,3,81.4,22,1162,57.7,56.15,0,3,5,-1.6,4.86,119,154,136,162,316,339,315
8,405395,"Pujols, Albert",27,29.6,0.5,0.75,0.333,1.25,0.739,0.419,0.334,2,4,95.3,17.3,1528,53.3,51.81,0,5,3,-1.5,4.81,121,157,116,148,318,334,303
7,624512,"McGuire, Reese",7,100,0,0,0,0,0,0.241,0.174,0,3,89.4,17.3,1504,62,60.11,0,5,2,-1.9,4.47,122,163,133,150,286,325,306
6,543281,"Harrison, Josh",57,10.5,1,0,1,1,0.884,0.747,0.726,2,2,96.3,16.5,1530,49.3,46.23,0,2,4,-3.1,3.47,115,147,121,144,303,330,307
5,594838,"Gosselin, Phil",5,100,0,0,0,0,0,0.256,0.249,0,3,90.3,7.3,1327,49.1,46.82,0,3,2,-2.3,4.28,119,159,116,150,294,329,294
4,670032,"Lopez, Nicky",16,25,,,,,,,,,,,,2911,57.1,54.17,0,0,4,-2.8,4.25,119,159,130,149,327,341,308
4,592743,"Simmons, Andrelton",25,16,1,0,1,1,0.884,0.758,0.77,2,2,81.9,23.5,1354,46.5,44.6,0,2,2,-1.9,4.7,116,146,115,144,297,313,290
4,608700,"Plawecki, Kevin",18,22.2,1,0,1,1,0.884,0.571,0.634,1,1,76,15,1989,58,56.78,0,2,2,-1.2,5.38,115,160,128,149,315,336,287
2,644374,"Chang, Yu",26,7.7,0.5,0,0.5,0.5,0.442,0.511,0.545,1,2,96.8,6,2803,40.4,37.7,0,2,0,-2.7,4.1,110,166,112,156,305,329,301
2,503556,"Gonzalez, Marwin",4,50,,,,,,,,,,,,1920,88.6,86.85,0,0,2,-1.7,5.3,110,154,126,147,299,334,306
2,518586,"Culberson, Charlie",28,7.1,1,0,1,1,0.884,0.773,0.717,1,1,106.5,14,2500,79.7,78.7,0,1,1,-1,5.4,126,171,137,151,289,326,300
2,608686,"Mayfield, Jack",13,15.4,0,0,0,0,0,0.03,0.023,0,1,86.7,58,1252,55.5,53.8,0,1,1,-1.7,4.85,123,151,143,154,285,322,292
1,620443,"Torrens, Luis",34,2.9,,,,,,,,,,,,1416,73.9,73,0,0,1,-0.9,5.3,123,147,90,142,287,320,293
1,608703,"Reynolds, Matt",21,4.8,,,,,,,,,,,,1828,58.3,56.5,0,0,1,-1.8,4.9,113,153,129,149,302,326,307
1,668800,"Knizner, Andrew",11,9.1,0,0,0,0,0,0.054,0.057,0,1,84.3,-32,2095,77.4,75.3,0,1,0,-2.1,4.8,132,149,146,158,291,319,305
1,641914,"Neuse, Sheldon",33,3,0,0,0,0,0,0.156,0.166,0,1,76.9,33,1378,40.4,38.5,0,1,0,-1.9,4.5,120,153,125,151,307,334,295
1,571466,"Barnhart, Tucker",17,5.9,,,,,,,,,,,,1501,56.6,53.9,0,0,1,-2.7,3.6,,,,,,,
1,608348,"Kelly, Carson",68,1.5,,,,,,,,,,,,1859,63.4,61,0,0,1,-2.4,4.7,117,155,124,145,311,333,308
1,593160,"Merrifield, Whit",13,7.7,1,3,,4,2.072,1.179,0.597,1,1,101.9,31,1866,61.1,57.6,0,1,0,-3.5,3.7,112,148,118,145,304,324,305
