Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Patrick Sandoval,25,us US,L,L,"6' 3""",190,18-Oct-96,4,27,27,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,3.5,,
Magneuris Sierra,26,do DO,L,L,"5' 11""",178,7-Apr-96,6,45,22,45,43,0,0,0,0,0,0,17,28,2,43,0,2,6,-0.5,"$100,000 ",
Chase Silseth,22,us US,R,R,"6' 0""",217,18-May-00,1st,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,,
Livan Soto,22,ve VE,L,R,"6' 0""",160,22-Jun-00,1st,18,15,18,18,0,0,0,0,1,18,0,0,0,0,0,0,1,0.7,,
Max Stassi,31,us US,R,R,"5' 10""",200,15-Mar-91,10,102,93,102,97,0,97,0,0,0,0,0,0,0,0,1,6,0,-0.5,"$3,000,000 ",
Michael Stefanic,26,us US,R,R,"5' 10""",180,24-Feb-96,1st,25,19,25,22,0,0,0,22,0,0,0,0,0,0,0,4,1,0,,
José Suarez,24,ve VE,L,L,"5' 10""",225,3-Jan-98,4,22,20,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,1.6,,
Kurt Suzuki,38,us US,R,R,"5' 11""",210,4-Oct-83,16,51,42,51,45,0,44,1,0,0,0,0,0,0,0,2,7,0,-0.4,"$1,750,000 ",
Noah Syndergaard,29,us US,L,R,"6' 6""",242,29-Aug-92,7,15,15,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,1.2,"$21,000,000 ",
Ryan Tepera,34,us US,R,R,"6' 1""",195,3-Nov-87,8,59,0,0,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0.7,"$7,000,000 ",
Matt Thaiss,27,us US,L,R,"6' 0""",215,6-May-95,4,29,19,29,26,0,14,11,0,3,0,0,0,0,0,0,6,0,-0.1,,
Dillon Thomas,29,us US,L,L,"6' 1""",215,10-Dec-92,2,8,3,8,7,0,0,0,0,0,0,5,0,5,7,0,1,1,0,,
Touki Toussaint,26,us US,R,R,"6' 3""",215,20-Jun-96,5,8,2,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
