last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,b_rbi,b_lob,b_total_bases,r_total_caught_stealing,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate
Cain, Lorenzo,456715,2022,36,145,156,26,20,5,0,1,36,8,23.1,5.1,0.179,0.234,0.231,0.465,0.055,9,76,34,2,0.2,0.253,0.212,0.23,0.25,0.053,87.9,3.8,21.8,0
Solano, Donovan,456781,2022,34,278,304,79,59,16,0,4,61,19,20.1,6.3,0.284,0.385,0.339,0.724,0.101,24,117,107,0,0.268,0.393,0.319,0.315,0.325,0.125,88.3,10.7,36.1,5.9
McCutchen, Andrew,457705,2022,35,515,580,122,80,25,0,17,124,57,21.4,9.8,0.237,0.384,0.316,0.7,0.148,69,226,198,6,0.252,0.406,0.309,0.325,0.329,0.155,89.1,13.2,36.2,8.6
Upton, Justin,457708,2022,34,48,57,6,4,1,0,1,23,6,40.4,10.5,0.125,0.208,0.263,0.471,0.083,3,33,10,0,0.157,0.218,0.231,0.249,0.293,0.061,88.5,26.5,36,4
Turner, Justin,457759,2022,37,468,532,130,81,36,0,13,89,50,16.7,9.4,0.278,0.438,0.35,0.788,0.16,81,201,205,0,0.267,0.427,0.343,0.339,0.343,0.16,89.5,18.4,40.6,8
Votto, Joey,458015,2022,38,322,376,66,36,18,1,11,97,44,25.8,11.7,0.205,0.37,0.319,0.689,0.165,41,138,119,0,0.218,0.39,0.31,0.322,0.331,0.172,89.7,14.2,32.9,11.1
Andrus, Elvis,462101,2022,33,535,577,133,84,32,0,17,92,39,15.9,6.8,0.249,0.404,0.303,0.707,0.155,58,180,216,4,0.245,0.36,0.31,0.293,0.3,0.114,87.9,11.9,29.1,4.5
Santana, Carlos,467793,2022,36,431,506,87,50,18,0,19,88,71,17.4,14,0.202,0.376,0.316,0.692,0.174,60,173,162,0,0.253,0.438,0.308,0.352,0.361,0.185,90.7,15.4,31.6,9.3
Belt, Brandon,474832,2022,34,254,298,54,36,9,1,8,81,37,27.2,12.4,0.213,0.35,0.326,0.676,0.138,23,121,89,0,0.215,0.412,0.303,0.326,0.328,0.197,88.4,23.4,38.5,12.6
Lowrie, Jed,476704,2022,38,167,184,30,22,5,0,3,39,15,21.2,8.2,0.18,0.263,0.245,0.508,0.084,16,73,44,0,0.197,0.281,0.23,0.247,0.264,0.085,86.2,16.3,26.9,3.1
Brantley Jr., Michael,488726,2022,35,243,277,70,50,14,1,5,30,31,10.8,11.2,0.288,0.416,0.368,0.784,0.128,26,68,101,1,0.31,0.467,0.345,0.374,0.39,0.158,89.8,10.7,39.5,6
Castro, Jason,488771,2022,35,78,88,9,6,2,0,1,40,8,45.5,9.1,0.115,0.179,0.205,0.384,0.064,3,46,14,0,0.161,0.28,0.183,0.239,0.245,0.119,88.6,10,35.9,5.1
Gurriel, Yuli,493329,2022,38,545,584,132,84,40,0,8,73,30,12.5,5.1,0.242,0.36,0.288,0.647,0.117,53,259,196,0,0.24,0.319,0.285,0.271,0.286,0.079,88.2,14.6,30.3,1.9
Rojas, Miguel,500743,2022,33,471,507,111,84,19,2,6,61,26,12,5.1,0.236,0.323,0.282,0.605,0.087,36,164,152,3,0.264,0.347,0.268,0.293,0.31,0.083,86.1,10.1,33.1,1.9
Escobar, Eduardo,500871,2022,33,495,542,119,69,26,4,20,129,40,23.8,7.4,0.24,0.43,0.295,0.726,0.19,69,267,213,2,0.243,0.427,0.311,0.314,0.3,0.183,88.3,20.6,38.7,9.4
Adrianza, Ehire,501303,2022,32,97,110,17,14,3,0,0,25,11,22.7,10,0.175,0.206,0.264,0.47,0.031,7,49,20,0,0.222,0.288,0.222,0.274,0.306,0.066,84.6,12.6,30.1,1.4
Lagares, Juan,501571,2022,33,60,62,11,8,2,1,0,15,2,24.2,3.2,0.183,0.25,0.21,0.46,0.067,0,31,15,0,0.216,0.305,0.203,0.242,0.241,0.089,88.4,14.4,40,2.2
Almonte, Abraham,501659,2022,33,35,37,9,6,2,0,1,12,1,32.4,2.7,0.257,0.4,0.297,0.697,0.143,2,20,14,0,0.184,0.295,0.306,0.234,0.229,0.11,88.1,14.6,34.8,4.3
Pham, Tommy,502054,2022,34,554,622,131,90,23,1,17,167,56,26.8,9,0.236,0.374,0.312,0.686,0.137,63,217,207,3,0.238,0.383,0.304,0.311,0.315,0.145,92.2,7.7,33.2,7.9
Martinez, J.D.,502110,2022,34,533,596,146,86,43,1,16,145,52,24.3,8.7,0.274,0.448,0.341,0.789,0.174,62,272,239,0,0.26,0.471,0.343,0.349,0.33,0.211,89.1,14.1,42,12.5
Goldschmidt, Paul,502671,2022,34,561,651,178,102,41,0,35,141,79,21.7,12.1,0.317,0.578,0.402,0.98,0.26,115,215,324,0,0.261,0.482,0.419,0.367,0.357,0.221,90.8,15.7,31.8,11.6
Gonzalez, Marwin,503556,2022,33,184,207,34,21,7,0,6,54,14,26.1,6.8,0.185,0.321,0.251,0.572,0.136,18,101,59,0,0.217,0.345,0.257,0.282,0.286,0.128,88,19.4,34.1,5.9
Leon, Sandy,506702,2022,33,71,86,12,9,3,0,0,27,13,31.4,15.1,0.169,0.211,0.291,0.502,0.042,4,38,15,0,0.187,0.238,0.246,0.263,0.312,0.051,84.3,21.4,39.1,0
Altuve, Jose,514888,2022,32,527,604,158,91,39,0,28,87,66,14.4,10.9,0.3,0.533,0.387,0.921,0.233,57,132,281,1,0.269,0.44,0.397,0.354,0.362,0.171,85.9,16.1,35.4,7.7
Hernandez, Cesar,514917,2022,32,560,617,139,106,28,4,1,114,45,18.5,7.3,0.248,0.318,0.31,0.627,0.07,34,185,178,4,0.248,0.329,0.283,0.29,0.312,0.081,84.8,9.3,33.3,2.4
Segura, Jean,516416,2022,32,354,387,98,79,9,0,10,58,25,15,6.5,0.277,0.387,0.336,0.723,0.11,33,149,137,6,0.254,0.363,0.32,0.303,0.316,0.109,87.6,4.3,28.3,4.4
Marte, Starling,516782,2022,33,466,505,136,91,24,5,16,97,26,19.2,5.1,0.292,0.468,0.347,0.814,0.176,63,192,218,9,0.276,0.428,0.355,0.336,0.332,0.153,86.8,7.5,38.5,6.8
Culberson, Charlie,518586,2022,33,115,124,29,21,6,0,2,31,5,25,4,0.252,0.357,0.274,0.631,0.104,12,47,41,3,0.226,0.303,0.281,0.251,0.258,0.077,85.3,5.9,28.4,1.1
d'Arnaud, Travis,518595,2022,33,396,426,106,62,25,1,18,90,19,21.1,4.5,0.268,0.472,0.319,0.791,0.205,60,145,187,0,0.247,0.412,0.343,0.313,0.3,0.166,88.5,11.8,35,8.5
Donaldson, Josh,518626,2022,36,478,546,106,63,28,0,15,148,54,27.1,9.9,0.222,0.374,0.308,0.682,0.153,62,213,179,2,0.215,0.37,0.302,0.299,0.303,0.154,90.7,12,34.8,9.8
Freeman, Freddie,518692,2022,32,612,708,199,129,47,2,21,102,84,14.4,11.9,0.325,0.511,0.407,0.918,0.186,100,207,313,3,0.313,0.538,0.393,0.403,0.4,0.225,91.3,13.6,42.9,9.9
Grandal, Yasmani,518735,2022,33,327,376,66,54,7,0,5,79,45,21,12,0.202,0.269,0.301,0.57,0.067,27,148,88,0,0.217,0.319,0.263,0.29,0.317,0.102,90,12.1,30,4.8
Heyward, Jason,518792,2022,32,137,151,28,21,5,1,1,32,11,21.2,7.3,0.204,0.277,0.278,0.556,0.073,10,67,38,0,0.218,0.322,0.253,0.278,0.29,0.105,87.6,13.1,26.7,4.8
LeMahieu, DJ,518934,2022,33,467,541,122,92,18,0,12,71,67,13.1,12.4,0.261,0.377,0.357,0.734,0.116,46,152,176,3,0.274,0.403,0.329,0.344,0.369,0.13,89.2,3,32.8,5.3
Moustakas, Mike,519058,2022,33,252,285,54,35,12,0,7,75,24,26.3,8.4,0.214,0.345,0.295,0.64,0.131,25,103,87,0,0.195,0.307,0.286,0.27,0.281,0.112,87.6,19.4,36.1,6.1
Rizzo, Anthony,519203,2022,32,465,548,104,50,21,1,32,101,58,18.4,10.6,0.224,0.48,0.338,0.817,0.256,75,223,223,5,0.239,0.454,0.352,0.349,0.35,0.215,89.4,19.3,34.2,10.9
Romine, Austin,519222,2022,33,129,136,20,14,3,0,3,46,4,33.8,2.9,0.155,0.248,0.184,0.432,0.093,9,69,32,0,0.159,0.248,0.193,0.195,0.19,0.09,87.2,9.5,22.4,4.7
Souza Jr., Steven,519306,2022,33,19,19,3,3,0,0,0,8,0,42.1,0,0.158,0.158,0.158,0.316,0,1,15,3,0,0.181,0.203,0.14,0.169,0.181,0.022,83.3,23.6,36.4,0
Stanton, Giancarlo,519317,2022,32,398,452,84,46,7,0,31,137,50,30.3,11.1,0.211,0.462,0.296,0.759,0.251,78,204,184,0,0.24,0.477,0.327,0.351,0.328,0.236,95,10.8,26.9,19.3
Vogt, Stephen,519390,2022,37,168,191,27,15,4,1,7,46,17,24.1,8.9,0.161,0.321,0.241,0.562,0.161,23,68,54,0,0.211,0.35,0.249,0.282,0.287,0.138,87,21,38.9,7.9
Perez, Salvador,521692,2022,32,445,473,113,66,23,1,23,109,18,23,3.8,0.254,0.465,0.292,0.757,0.211,76,174,207,0,0.245,0.473,0.324,0.326,0.285,0.228,91.4,17.8,34.8,11.2
Flores, Wilmer,527038,2022,30,525,602,120,72,28,1,19,103,59,17.1,9.8,0.229,0.394,0.316,0.71,0.166,71,192,207,0,0.233,0.37,0.312,0.31,0.322,0.137,87.8,20.7,35.7,6.3
Garcia, Avisail,541645,2022,31,357,380,80,63,9,0,8,109,17,28.7,4.5,0.224,0.317,0.266,0.582,0.092,35,161,113,0,0.23,0.366,0.258,0.281,0.273,0.136,88.7,2.8,27.6,6.4
Bethancourt, Christian,542194,2022,30,318,333,80,52,17,0,11,80,12,24,3.6,0.252,0.409,0.282,0.691,0.157,34,130,130,1,0.255,0.449,0.301,0.318,0.286,0.194,90.1,9.4,31.4,11.7
Ozuna, Marcell,542303,2022,31,470,507,106,64,19,0,23,122,31,24.1,6.1,0.226,0.413,0.274,0.687,0.187,56,210,194,1,0.256,0.478,0.298,0.337,0.303,0.222,89.4,16.5,31.8,13.1
Villar, Jonathan,542340,2022,31,202,220,42,31,6,2,3,59,15,26.8,6.8,0.208,0.302,0.259,0.561,0.094,18,73,61,0,0.208,0.283,0.25,0.247,0.262,0.075,89.6,-0.7,24.7,2.7
Ortega, Rafael,542364,2022,31,316,371,76,54,14,1,7,74,44,19.9,11.9,0.241,0.358,0.329,0.686,0.117,35,140,113,7,0.241,0.346,0.305,0.307,0.334,0.104,87.2,17.1,37.6,4.8
Aguilar, Jesus,542583,2022,32,464,507,109,74,19,0,16,119,28,23.5,5.5,0.235,0.379,0.278,0.657,0.144,51,179,176,0,0.24,0.393,0.288,0.298,0.288,0.153,87.7,19.1,39.7,6.9
Beckham, Tim,542921,2022,32,25,25,2,2,0,0,0,9,0,36,0,0.08,0.08,0.08,0.16,0,1,15,2,0,0.186,0.235,0.071,0.181,0.186,0.049,90.5,-0.4,12.5,0
Berti, Jon,542932,2022,32,358,404,86,62,17,3,4,89,42,22,10.4,0.24,0.338,0.324,0.662,0.098,28,143,121,5,0.236,0.358,0.298,0.306,0.322,0.122,88,4.7,30.7,5.9
Crawford, Brandon,543063,2022,35,407,458,94,68,15,2,9,98,39,21.4,8.5,0.231,0.344,0.308,0.652,0.113,52,201,140,1,0.217,0.339,0.289,0.287,0.3,0.122,88.1,12.3,31,6.7
Cron, C.J.,543068,2022,32,575,632,148,88,28,3,29,164,43,25.9,6.8,0.257,0.468,0.315,0.783,0.21,102,268,269,0,0.244,0.438,0.335,0.321,0.306,0.194,88.7,14.2,36.8,10.8
Dickerson, Alex,543105,2022,32,33,36,4,3,0,0,1,9,3,25,8.3,0.121,0.212,0.194,0.407,0.091,2,17,7,0,0.221,0.395,0.189,0.297,0.285,0.175,90.1,18.2,33.3,8.3
Gomes, Yan,543228,2022,34,277,293,65,45,12,0,8,47,8,16,2.7,0.235,0.365,0.259,0.624,0.13,31,132,101,0,0.251,0.379,0.271,0.287,0.278,0.127,85.3,9.4,37.9,3.4
Grossman, Robbie,543257,2022,32,411,477,86,59,19,1,7,129,56,27,11.7,0.209,0.311,0.31,0.622,0.102,45,163,128,2,0.205,0.305,0.283,0.281,0.307,0.1,86.7,21.1,38.5,3.5
Harrison, Josh,543281,2022,34,386,425,99,71,19,2,7,71,21,16.7,4.9,0.256,0.37,0.315,0.686,0.114,27,163,143,1,0.233,0.335,0.305,0.284,0.297,0.102,87.4,14.7,32,3.8
Hicks, Aaron,543305,2022,32,384,453,83,64,9,2,8,109,62,24.1,13.7,0.216,0.313,0.329,0.641,0.096,40,188,120,3,0.218,0.336,0.292,0.303,0.333,0.117,87.9,14.8,25.2,5.8
Higashioka, Kyle,543309,2022,32,229,248,52,35,7,0,10,52,12,21,4.8,0.227,0.389,0.262,0.651,0.162,31,103,89,1,0.254,0.444,0.282,0.317,0.291,0.191,90.9,17.2,36.6,9.8
Hosmer, Eric,543333,2022,32,380,419,102,75,19,0,8,64,37,15.3,8.8,0.268,0.382,0.334,0.716,0.113,44,167,145,0,0.258,0.379,0.313,0.311,0.327,0.12,88.4,3.1,29.3,5.7
McCann, James,543510,2022,32,174,191,34,25,6,0,3,46,11,24.1,5.8,0.195,0.282,0.257,0.538,0.086,18,80,49,0,0.24,0.414,0.243,0.311,0.298,0.174,90.2,16.3,33.8,6.9
Miller, Brad,543543,2022,32,222,241,47,37,3,0,7,70,18,29,7.5,0.212,0.32,0.27,0.59,0.108,32,91,71,2,0.205,0.344,0.263,0.269,0.264,0.139,91.1,14.1,27.5,7.8
Nola, Austin,543592,2022,32,347,397,87,68,15,0,4,60,34,15.1,8.6,0.251,0.329,0.32,0.648,0.078,40,146,114,1,0.256,0.351,0.29,0.305,0.33,0.095,89.4,12,35.4,2.4
Rendon, Anthony,543685,2022,32,166,193,38,23,10,0,5,35,23,18.1,11.9,0.229,0.38,0.326,0.706,0.151,24,68,63,0,0.241,0.392,0.314,0.331,0.343,0.151,89.6,18.7,42.1,8.3
Semien, Marcus,543760,2022,31,657,724,163,101,31,5,26,120,53,16.6,7.3,0.248,0.429,0.304,0.733,0.181,83,218,282,8,0.243,0.394,0.317,0.306,0.301,0.151,87.3,19.9,32.4,6.8
Shaw, Travis,543768,2022,32,19,19,0,0,0,0,0,7,0,36.8,0,0,0,0,0,0,0,8,0,0,0.081,0.11,0,0.081,0.081,0.029,79.3,29,41.7,0
Springer III, George,543807,2022,32,513,583,137,86,22,4,25,100,54,17.2,9.3,0.267,0.472,0.34,0.811,0.205,76,190,242,2,0.265,0.438,0.352,0.342,0.342,0.172,88.7,13.9,31.8,8.4
Strange-Gordon, Dee,543829,2022,34,59,59,18,16,1,1,0,8,0,13.6,0,0.305,0.356,0.305,0.661,0.051,2,19,21,2,0.22,0.268,0.288,0.213,0.22,0.047,84.4,1.3,25.5,0
Vazquez, Christian,543877,2022,31,398,426,109,77,23,0,9,69,22,16.2,5.2,0.274,0.399,0.315,0.714,0.126,52,156,159,4,0.262,0.375,0.312,0.301,0.306,0.113,87.9,10.7,36.1,5.1
Wong, Kolten,543939,2022,31,430,497,108,65,24,4,15,88,46,17.7,9.3,0.251,0.43,0.338,0.768,0.179,47,153,185,6,0.235,0.353,0.336,0.305,0.327,0.118,87,14,33.5,5.4
Gregorius, Didi,544369,2022,32,214,232,45,31,9,4,1,36,13,15.5,5.6,0.21,0.304,0.263,0.567,0.093,19,96,65,0,0.237,0.327,0.251,0.275,0.288,0.091,84.5,15.8,33.3,2.8
Garcia, Leury,544725,2022,31,300,315,63,52,8,0,3,65,7,20.6,2.2,0.21,0.267,0.232,0.498,0.057,20,126,80,0,0.233,0.325,0.221,0.258,0.258,0.092,87,6.2,30,4.2
Vargas, Ildemaro,545121,2022,30,209,222,55,37,13,1,4,23,8,10.4,3.6,0.263,0.392,0.297,0.69,0.129,23,84,82,1,0.227,0.305,0.302,0.255,0.265,0.078,87,7.4,28.2,2.1
Grichuk, Randal,545341,2022,30,506,538,131,88,21,3,19,127,24,23.6,4.5,0.259,0.425,0.299,0.724,0.166,73,216,215,0,0.229,0.37,0.315,0.281,0.271,0.141,90,8.7,27.3,6.8
Marisnick, Jake,545350,2022,31,77,82,18,10,6,0,2,24,4,29.3,4.9,0.234,0.39,0.268,0.658,0.156,6,35,30,1,0.226,0.361,0.283,0.27,0.265,0.135,88.4,19.9,33.3,7.4
Stassi, Max,545358,2022,31,333,375,60,38,12,1,9,112,38,29.9,10.1,0.18,0.303,0.267,0.57,0.123,30,147,101,0,0.18,0.325,0.258,0.266,0.268,0.145,88.6,9.5,26,9.4
Trout, Mike,545361,2022,30,438,499,124,54,28,2,40,139,54,27.9,10.8,0.283,0.63,0.369,0.999,0.347,80,148,276,0,0.265,0.583,0.418,0.395,0.354,0.317,91.6,24.6,37.7,19.7
Herrera, Odubel,546318,2022,30,185,197,44,29,9,1,5,42,11,21.3,5.6,0.238,0.378,0.279,0.658,0.141,21,90,70,0,0.225,0.348,0.287,0.272,0.268,0.123,86.9,4,24.3,4.9
Almora Jr., Albert,546991,2022,28,215,235,48,32,10,1,5,46,17,19.6,7.2,0.223,0.349,0.281,0.63,0.126,29,112,75,2,0.233,0.307,0.279,0.27,0.292,0.075,84,6.7,29.8,1.8
Lopes, Christian,547173,2022,29,9,10,0,0,0,0,0,5,1,50,10,0,0,0.1,0.1,0,0,8,0,0,0.173,0.223,0.069,0.222,0.256,0.049,91.1,27.6,75,0
Harper, Bryce,547180,2022,29,370,426,106,59,28,1,18,87,46,20.4,10.8,0.286,0.514,0.364,0.877,0.227,65,143,190,4,0.288,0.527,0.369,0.38,0.369,0.238,92.1,11.8,37.2,12.8
Perez, Roberto,547379,2022,33,60,69,14,10,2,0,2,25,9,36.2,13,0.233,0.367,0.333,0.7,0.133,8,33,22,0,0.212,0.376,0.315,0.308,0.314,0.165,89.3,5.4,42.9,11.4
Abreu, Jose,547989,2022,35,601,679,183,128,40,0,15,110,62,16.2,9.1,0.304,0.446,0.378,0.824,0.141,75,260,268,0,0.296,0.486,0.361,0.373,0.372,0.19,92.2,8,34.5,9.5
Diaz, Elias,553869,2022,31,351,381,80,51,18,2,9,82,25,21.5,6.6,0.228,0.368,0.281,0.648,0.14,51,180,129,1,0.222,0.339,0.284,0.274,0.278,0.117,88.4,11.1,28.3,5.9
Narvaez, Omar,553882,2022,30,262,296,54,37,12,1,4,57,29,19.3,9.8,0.206,0.305,0.291,0.596,0.099,23,111,80,0,0.207,0.293,0.269,0.268,0.294,0.087,84.7,17.7,36.7,2.4
Astudillo, Willians,553902,2022,30,54,55,13,12,0,0,1,3,1,5.5,1.8,0.241,0.296,0.255,0.551,0.056,4,29,16,0,0.265,0.315,0.243,0.265,0.279,0.05,83,15.5,27.5,0
Machado, Dixon,553988,2022,30,15,17,3,3,0,0,0,5,1,29.4,5.9,0.2,0.2,0.294,0.494,0,0,13,3,0,0.24,0.264,0.239,0.281,0.33,0.024,71.6,22.5,30,0
Suarez, Eugenio,553993,2022,30,543,629,128,71,24,2,31,196,73,31.2,11.6,0.236,0.459,0.332,0.791,0.223,87,221,249,0,0.22,0.454,0.344,0.339,0.321,0.234,89.8,19.9,36.4,14.8
Gonzalez, Erik,570481,2022,30,37,41,7,6,1,0,0,12,4,29.3,9.8,0.189,0.216,0.268,0.485,0.027,3,20,8,0,0.224,0.268,0.227,0.263,0.3,0.044,84.4,-0.7,32,0
Urshela, Gio,570482,2022,30,501,551,143,100,27,3,13,96,41,17.4,7.4,0.285,0.429,0.338,0.767,0.144,64,227,215,0,0.268,0.416,0.332,0.323,0.324,0.148,88.9,11.8,38.6,7
Sanchez, Carlos,570560,2022,30,37,44,4,4,0,0,0,13,5,29.5,11.4,0.108,0.108,0.205,0.313,0,2,19,4,2,0.135,0.179,0.166,0.204,0.24,0.044,84.4,14,38.5,0
Schoop, Jonathan,570731,2022,30,481,510,97,62,23,1,11,107,19,21,3.7,0.202,0.322,0.239,0.561,0.121,38,221,155,0,0.228,0.338,0.245,0.268,0.267,0.111,87,9.7,29.1,4.8
Arenado, Nolan,571448,2022,31,557,620,163,90,42,1,30,72,52,11.6,8.4,0.293,0.533,0.358,0.891,0.241,103,251,297,3,0.265,0.445,0.381,0.339,0.335,0.179,88.7,21.7,35.4,8.2
Barnhart, Tucker,571466,2022,31,281,308,62,51,10,0,1,74,25,24,8.1,0.221,0.267,0.286,0.553,0.046,16,114,75,0,0.201,0.264,0.253,0.244,0.269,0.063,84.5,10.1,30.3,1.9
Davidson, Matt,571602,2022,31,34,37,5,3,0,0,2,13,3,35.1,8.1,0.147,0.324,0.216,0.54,0.176,3,16,11,1,0.188,0.417,0.24,0.29,0.253,0.23,87.3,13.1,23.8,14.3
Farmer, Kyle,571657,2022,31,526,583,134,94,25,1,14,99,33,17,5.7,0.255,0.386,0.314,0.7,0.131,78,205,203,3,0.258,0.38,0.309,0.311,0.32,0.122,85.5,12.7,37.7,4.4
Hamilton, Billy,571740,2022,31,20,23,1,1,0,0,0,12,2,52.2,8.7,0.05,0.05,0.13,0.18,0,0,8,1,1,0.154,0.174,0.103,0.196,0.231,0.02,78.4,28.3,33.3,0
Haniger, Mitch,571745,2022,31,224,247,55,36,8,0,11,65,20,26.3,8.1,0.246,0.429,0.308,0.736,0.183,34,83,96,0,0.245,0.45,0.319,0.328,0.309,0.205,91.9,18.2,31.1,11.8
Hernandez, Enrique,571771,2022,30,361,402,80,50,24,0,6,71,34,17.7,8.5,0.222,0.338,0.291,0.629,0.116,45,154,122,2,0.238,0.356,0.28,0.296,0.308,0.119,87.8,17.1,33.3,5.8
Lamb, Jake,571875,2022,31,97,111,21,11,6,1,3,38,11,34.2,9.9,0.216,0.392,0.315,0.707,0.175,6,60,38,1,0.215,0.39,0.314,0.314,0.314,0.175,91.5,15,35.6,11.9
Maile, Luke,571912,2022,31,181,206,40,27,10,0,3,54,19,26.2,9.2,0.221,0.326,0.301,0.627,0.105,17,90,59,0,0.194,0.301,0.281,0.263,0.278,0.107,84.5,17,33.8,5.4
Muncy, Max,571970,2022,31,464,565,91,47,22,1,21,141,90,25,15.9,0.196,0.384,0.329,0.713,0.188,69,213,178,0,0.208,0.417,0.318,0.339,0.342,0.209,90.3,20.9,34.3,13.4
Myers, Wil,571976,2022,31,261,286,68,46,15,0,7,86,21,30.1,7.3,0.261,0.398,0.315,0.713,0.138,41,136,104,1,0.225,0.373,0.311,0.288,0.285,0.148,88.5,13,37.6,7.3
Naquin, Tyler,571980,2022,31,310,334,71,37,19,4,11,93,19,27.8,5.7,0.229,0.423,0.281,0.704,0.194,46,135,131,2,0.247,0.433,0.303,0.317,0.299,0.186,90.3,14.4,39.9,9.6
Owings, Chris,572008,2022,30,56,68,6,4,2,0,0,24,10,35.3,14.7,0.107,0.143,0.25,0.393,0.036,0,31,8,0,0.145,0.199,0.204,0.238,0.286,0.054,80.4,10.8,24.2,3
Piscotty, Stephen,572039,2022,31,126,139,24,15,4,0,5,48,9,34.5,6.5,0.19,0.341,0.252,0.593,0.151,14,49,43,0,0.216,0.353,0.258,0.275,0.278,0.137,90.4,10.4,42.5,6.3
Pollock, AJ,572041,2022,34,489,527,120,79,26,1,14,98,32,18.6,6.1,0.245,0.389,0.292,0.681,0.143,56,226,190,1,0.258,0.419,0.297,0.317,0.305,0.161,88.8,11.6,32.9,9.4
Taylor, Michael A.,572191,2022,31,414,456,105,83,10,3,9,109,35,23.9,7.7,0.254,0.357,0.311,0.669,0.104,43,169,148,2,0.223,0.358,0.297,0.289,0.288,0.135,86.3,12.1,33.5,6.8
Thompson, Trayce,572204,2022,31,219,255,56,28,14,1,13,93,32,36.5,12.5,0.256,0.507,0.353,0.86,0.251,41,115,111,1,0.251,0.496,0.37,0.366,0.35,0.245,92.2,16.4,45.3,16.4
Voit III, Luke,572228,2022,31,500,568,113,69,22,0,22,179,55,31.5,9.7,0.226,0.402,0.308,0.71,0.176,69,224,201,1,0.222,0.434,0.311,0.322,0.306,0.212,89.8,18.4,34.6,14.7
Walker, Christian,572233,2022,31,583,667,141,78,25,2,36,131,69,19.6,10.3,0.242,0.477,0.327,0.804,0.235,94,259,278,2,0.257,0.484,0.346,0.359,0.343,0.227,90,17,33.3,11.5
Zunino, Mike,572287,2022,31,115,123,17,9,3,0,5,46,6,37.4,4.9,0.148,0.304,0.195,0.499,0.157,16,44,35,0,0.182,0.329,0.219,0.252,0.232,0.147,91.8,20.8,34.3,8.6
Carpenter, Matt,572761,2022,36,128,154,39,15,9,0,15,35,19,22.7,12.3,0.305,0.727,0.409,1.136,0.422,37,54,93,0,0.231,0.485,0.472,0.362,0.351,0.254,89.8,22.4,41.1,13.7
Dickerson, Corey,572816,2022,33,281,297,75,51,17,1,6,48,12,16.2,4,0.267,0.399,0.3,0.698,0.132,36,124,112,0,0.263,0.371,0.303,0.292,0.297,0.107,87.7,10.6,33.2,3.8
Garneau, Dustin,572863,2022,34,10,11,3,2,1,0,0,4,1,36.4,9.1,0.3,0.4,0.364,0.764,0.1,1,4,4,0,0.243,0.448,0.338,0.334,0.312,0.204,89.5,40.6,33.3,16.7
Ruf, Darin,573131,2022,35,334,388,68,45,12,0,11,105,45,27.1,11.6,0.204,0.338,0.307,0.645,0.135,45,149,113,0,0.219,0.371,0.291,0.31,0.321,0.153,89.2,14.8,34.5,8.6
Yastrzemski, Mike,573262,2022,31,485,558,104,54,31,2,17,141,61,25.3,10.9,0.214,0.392,0.305,0.696,0.177,57,216,190,1,0.22,0.392,0.307,0.314,0.313,0.172,89.9,19.9,36.2,11.1
Contreras, Willson,575929,2022,30,416,487,101,54,23,2,22,103,45,21.1,9.2,0.243,0.466,0.349,0.815,0.224,55,174,194,2,0.256,0.463,0.357,0.364,0.362,0.207,90.4,8.5,30.2,10.5
Iglesias, Jose,578428,2022,32,439,467,128,95,30,0,3,56,17,12,3.6,0.292,0.38,0.328,0.708,0.089,47,179,167,3,0.266,0.323,0.312,0.281,0.304,0.056,83.8,6,30.6,0.5
Bernard, Wynton,592144,2022,31,42,42,12,11,1,0,0,8,0,19,0,0.286,0.31,0.286,0.595,0.024,3,12,13,1,0.236,0.279,0.262,0.226,0.236,0.043,84.6,-6.5,26.5,0
Bryant, Kris,592178,2022,30,160,181,49,32,12,0,5,27,17,14.9,9.4,0.306,0.475,0.376,0.851,0.169,14,79,76,0,0.279,0.426,0.37,0.344,0.352,0.147,85,13.5,31.9,6.7
Canha, Mark,592192,2022,33,462,542,123,86,24,0,13,97,48,17.9,8.9,0.266,0.403,0.367,0.77,0.136,61,218,186,1,0.245,0.362,0.343,0.323,0.351,0.117,87.7,10.9,32.2,4.9
Casali, Curt,592200,2022,33,148,176,30,21,4,0,5,50,24,28.4,13.6,0.203,0.331,0.318,0.649,0.128,17,75,49,0,0.189,0.325,0.295,0.289,0.309,0.136,87.1,25.4,35,6
Castellanos, Nick,592206,2022,30,524,558,138,98,27,0,13,130,29,23.3,5.2,0.263,0.389,0.305,0.694,0.126,62,209,204,1,0.25,0.395,0.304,0.302,0.293,0.145,87.5,14.6,36.9,6.6
Drury, Brandon,592273,2022,29,518,568,136,75,31,2,28,126,38,22.2,6.7,0.263,0.492,0.32,0.813,0.23,87,203,255,3,0.242,0.42,0.35,0.316,0.303,0.179,89.1,13.8,34.8,10.4
Gamel, Ben,592325,2022,30,371,423,86,55,20,2,9,98,48,23.2,11.3,0.232,0.369,0.324,0.693,0.137,46,132,137,1,0.244,0.372,0.308,0.316,0.335,0.128,88.8,11.3,38,6.2
