last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,b_rbi,b_lob,b_total_bases,r_total_caught_stealing,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate
Jung, Josh,673962,2022,24,98,102,20,10,4,1,5,39,4,38.2,3.9,0.204,0.418,0.235,0.654,0.214,14,38,41,0,0.225,0.403,0.28,0.287,0.255,0.178,85.5,14.3,40.7,10.2
Smith, Kevin,675656,2022,25,139,151,25,13,9,1,2,42,7,27.8,4.6,0.18,0.302,0.212,0.514,0.122,13,64,42,0,0.189,0.322,0.226,0.239,0.225,0.133,87,16.4,32.4,7.8
Velazquez, Nelson,676369,2022,23,185,206,38,22,7,3,6,65,19,31.6,9.2,0.205,0.373,0.286,0.659,0.168,26,89,69,2,0.209,0.399,0.291,0.305,0.291,0.19,89.2,12.3,35,13.3
Clement, Ernie,676391,2022,26,163,179,30,26,4,0,0,26,11,14.5,6.1,0.184,0.209,0.24,0.449,0.025,6,90,34,1,0.235,0.328,0.209,0.277,0.29,0.093,85,11.8,27.1,3.6
Burleson, Alec,676475,2022,23,48,53,9,7,1,0,1,9,5,17,9.4,0.188,0.271,0.264,0.535,0.083,3,19,13,0,0.248,0.415,0.245,0.322,0.319,0.167,91.7,4,35.9,10.3
Barrero, Jose ,676480,2022,24,165,174,25,20,3,0,2,76,9,43.7,5.2,0.152,0.206,0.195,0.401,0.055,10,94,34,1,0.14,0.211,0.183,0.18,0.185,0.071,87.5,17.7,33.7,2.2
Bannon, Rylan,676625,2022,26,14,15,2,2,0,0,0,5,0,33.3,0,0.143,0.143,0.2,0.343,0,0,9,2,0,0.127,0.181,0.166,0.174,0.185,0.054,88.7,0.9,11.1,0
Contreras, Mark,676628,2022,27,58,61,7,3,1,0,3,21,1,34.4,1.6,0.121,0.293,0.148,0.441,0.172,6,39,17,0,0.204,0.424,0.189,0.304,0.24,0.22,94.9,13.9,28.9,31.6
Madris, Bligh,676632,2022,26,113,123,20,12,7,0,1,31,10,25.2,8.1,0.177,0.265,0.244,0.509,0.088,7,46,30,1,0.211,0.309,0.231,0.262,0.275,0.098,88.9,10.5,30.5,4.9
Reks, Zach,676646,2022,28,34,34,9,8,1,0,0,10,0,29.4,0,0.265,0.294,0.265,0.559,0.029,3,16,10,1,0.223,0.309,0.245,0.23,0.223,0.085,86.3,19,33.3,0
Meyers, Jake,676694,2022,26,150,160,34,25,6,2,1,54,7,33.8,4.4,0.227,0.313,0.269,0.582,0.087,15,57,47,1,0.205,0.292,0.258,0.251,0.254,0.086,87.3,7.2,30.9,5.2
Trejo, Alan,676701,2022,26,118,125,32,22,6,0,4,31,5,24.8,4,0.271,0.424,0.312,0.736,0.153,17,49,50,2,0.242,0.375,0.321,0.291,0.285,0.133,86.2,13.6,37.9,4.6
Young, Jared,676724,2022,26,19,22,5,3,2,0,0,7,3,31.8,13.6,0.263,0.368,0.364,0.732,0.105,0,12,7,0,0.234,0.36,0.329,0.315,0.338,0.126,90.7,9.3,41.7,8.3
McCormick, Chas,676801,2022,27,359,407,88,60,12,2,14,106,46,26,11.3,0.245,0.407,0.332,0.738,0.162,44,129,146,3,0.232,0.414,0.326,0.325,0.321,0.183,88.1,12.8,33.5,10.2
Batten, Matthew,676946,2022,27,19,22,2,1,1,0,0,6,2,27.3,9.1,0.105,0.158,0.227,0.385,0.053,1,14,3,0,0.193,0.251,0.193,0.262,0.303,0.058,86.3,3.4,38.5,0
MacKinnon, David,676950,2022,27,50,57,7,7,0,0,0,17,6,29.8,10.5,0.14,0.14,0.228,0.368,0,6,30,7,0,0.208,0.28,0.181,0.259,0.289,0.072,85,8.2,26.5,2.9
Franco, Wander,677551,2022,21,314,344,87,58,20,3,6,33,26,9.6,7.6,0.277,0.417,0.328,0.746,0.14,33,126,131,0,0.285,0.408,0.323,0.331,0.34,0.123,87.3,8.2,35.1,4.6
Rodriguez, Julio,677594,2022,21,511,560,145,89,25,3,28,145,40,25.9,7.1,0.284,0.509,0.345,0.853,0.225,75,185,260,7,0.254,0.46,0.366,0.337,0.319,0.206,92,10.1,32.7,13.1
Duran, Ezequiel,677649,2022,23,208,220,49,33,10,1,5,54,12,24.5,5.5,0.236,0.365,0.277,0.643,0.13,25,93,76,1,0.216,0.317,0.282,0.256,0.259,0.101,85.9,9.5,24.7,4.5
Thomas, Alek,677950,2022,22,381,411,88,62,17,1,8,74,22,18,5.4,0.231,0.344,0.275,0.619,0.113,39,162,131,3,0.238,0.335,0.272,0.277,0.285,0.097,87.4,2.6,27.9,3.8
Witt Jr., Bobby,677951,2022,22,591,632,150,93,31,6,20,135,30,21.4,4.7,0.254,0.428,0.294,0.722,0.174,80,241,253,7,0.252,0.427,0.311,0.313,0.294,0.174,89.7,16.8,32.5,8.7
Groshans, Jordan,677954,2022,22,61,65,16,15,0,0,1,13,4,20,6.2,0.262,0.311,0.308,0.619,0.049,2,27,19,0,0.234,0.305,0.278,0.263,0.281,0.071,87.1,5,37.5,2.1
Bae, Ji Hwan,678225,2022,22,33,37,11,8,3,0,0,6,2,16.2,5.4,0.333,0.424,0.405,0.83,0.091,6,8,14,0,0.236,0.261,0.37,0.273,0.318,0.025,83.2,4.4,25.9,0
Vargas, Miguel,678246,2022,22,47,50,8,6,1,0,1,13,2,26,4,0.17,0.255,0.2,0.455,0.085,8,22,12,0,0.205,0.338,0.2,0.257,0.241,0.133,89.7,25.9,25.7,8.6
Tovar, Ezequiel,678662,2022,20,33,35,7,5,1,0,1,9,2,25.7,5.7,0.212,0.333,0.257,0.59,0.121,2,21,11,0,0.249,0.39,0.261,0.3,0.292,0.141,88.6,8.5,37.5,12.5
Torkelson, Spencer,679529,2022,22,360,404,73,48,16,1,8,99,37,24.5,9.2,0.203,0.319,0.285,0.604,0.117,28,166,115,1,0.226,0.378,0.272,0.305,0.307,0.151,90.5,15,35.4,8.4
Vavra, Terrin,679631,2022,25,89,103,23,19,2,1,1,19,12,18.4,11.7,0.258,0.337,0.34,0.677,0.079,12,30,30,1,0.264,0.353,0.303,0.318,0.348,0.089,87.5,10.7,37.5,1.4
Palacios, Richie,680700,2022,25,112,123,26,20,6,0,0,20,9,16.3,7.3,0.232,0.286,0.293,0.578,0.054,10,59,32,0,0.244,0.31,0.258,0.277,0.308,0.066,85,13.5,26.9,1.1
Kwan, Steven,680757,2022,24,563,638,168,130,25,7,6,60,62,9.4,9.7,0.298,0.4,0.371,0.771,0.101,52,217,225,5,0.268,0.341,0.341,0.312,0.348,0.073,85.1,11.8,34.6,1.4
